-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  -33.93   longitude 18.42 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 18.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2023,6,23,1.1182,3.0614
2023,6,24,1.8082,2.7355
2023,6,25,2.8649,2.9268
2023,6,26,2.592,2.9047
2023,6,27,0.5102,2.7751
2023,6,28,1.8588,2.9849
2023,6,29,1.452,3.1162
2023,6,30,2.213,3.161
2023,7,1,3.1704,3.2141
2023,7,2,3.2182,3.2542
2023,7,3,3.1685,3.2486
2023,7,4,3.2395,3.2587
2023,7,5,3.1958,3.2914
2023,7,6,2.7756,3.2198
2023,7,7,1.4126,3.1862
2023,7,8,2.5162,3.3362
2023,7,9,3.0175,3.3886
2023,7,10,3.4061,3.4342
2023,7,11,3.5117,3.5148
2023,7,12,3.4817,3.4872
2023,7,13,3.3886,3.4025
2023,7,14,2.3436,3.2705
2023,7,15,1.9279,3.2393
2023,7,16,2.0765,3.3497
2023,7,17,3.1459,3.3658
2023,7,18,1.9824,3.4886
2023,7,19,3.4198,3.6581
2023,7,20,3.6701,3.697
2023,7,21,3.5933,3.7366
2023,7,22,3.437,3.6396
2023,7,23,2.873,3.6626
2023,7,24,3.7975,3.8095
2023,7,25,3.8184,3.8462
2023,7,26,1.6714,3.4126
2023,7,27,2.2514,3.6953
2023,7,28,1.9392,3.7039
2023,7,29,2.2294,3.7594
2023,7,30,2.3546,3.8609
2023,7,31,3.0629,3.9523
2023,8,1,3.93,4.0457
2023,8,2,4.0462,4.1078
2023,8,3,3.9763,3.9955
2023,8,4,3.7682,3.9166
2023,8,5,3.5201,3.983
2023,8,6,3.7706,4.079
2023,8,7,3.569,4.1654
2023,8,8,4.0349,4.2
2023,8,9,4.266,4.2888
2023,8,10,4.1993,4.2468
2023,8,11,3.8436,3.9058
2023,8,12,2.3196,4.0474
2023,8,13,3.9079,4.375
2023,8,14,3.396,4.4642
2023,8,15,4.5502,4.5732
2023,8,16,4.2415,4.5403
2023,8,17,2.6472,4.4942
2023,8,18,3.8779,4.5955
2023,8,19,4.5698,4.6615
2023,8,20,4.3829,4.7659
2023,8,21,4.0963,4.7614
2023,8,22,1.907,4.7215
2023,8,23,4.231,4.9459
2023,8,24,3.75,4.8322
2023,8,25,3.3204,4.8264
2023,8,26,4.2166,5.0472
2023,8,27,4.9848,5.0059
2023,8,28,5.1091,5.1754
2023,8,29,4.4129,4.4813
2023,8,30,3.7387,4.4952
2023,8,31,1.9958,5.0174
2023,9,1,4.7177,5.377
2023,9,2,3.8616,5.3666
2023,9,3,4.687,5.4214
2023,9,4,4.8494,5.5418
2023,9,5,4.4227,5.6114
2023,9,6,4.5278,5.4967
2023,9,7,5.0614,5.5217
2023,9,8,5.2541,5.4482
2023,9,9,3.8196,4.7683
2023,9,10,4.0003,5.7506
2023,9,11,5.1127,5.9374
2023,9,12,5.9798,6.0418
2023,9,13,5.9503,5.9729
2023,9,14,3.5945,5.9345
2023,9,15,3.0401,5.8879
2023,9,16,4.2067,6.1536
2023,9,17,5.7187,6.1493
2023,9,18,4.968,6.1342
2023,9,19,3.3509,6.0451
2023,9,20,5.8656,6.1858
2023,9,21,2.4372,6.071
2023,9,22,5.3983,6.137
2023,9,23,5.4554,6.2654
2023,9,24,2.2054,6.0761
2023,9,25,2.9371,6.1973
2023,9,26,6.5753,6.6204
2023,9,27,6.7202,6.7349
2023,9,28,6.6638,6.7092
2023,9,29,5.2246,6.5914
2023,9,30,4.326,6.7673
2023,10,1,7.0421,7.0745
2023,10,2,6.8395,6.8544
2023,10,3,6.715,6.8688
2023,10,4,3.2436,6.5542
2023,10,5,5.021,6.7658
2023,10,6,5.9755,6.8534
2023,10,7,6.48,6.997
2023,10,8,7.1426,7.1786
2023,10,9,7.157,7.1842
2023,10,10,7.2029,7.235
2023,10,11,6.4308,7.0742
2023,10,12,5.4394,7.2062
2023,10,13,7.2821,7.4813
2023,10,14,7.0171,7.3354
2023,10,15,7.3382,7.4347
2023,10,16,7.4904,7.5161
2023,10,17,7.5019,7.5605
2023,10,18,7.381,7.7496
2023,10,19,7.6162,7.6378
2023,10,20,4.1462,7.6632
2023,10,21,7.2874,7.5643
2023,10,22,7.739,7.7712
2023,10,23,7.6536,7.7508
2023,10,24,6.9269,7.7868
2023,10,25,8.0203,8.0362
2023,10,26,7.4738,8.0659
2023,10,27,4.4887,7.6951
2023,10,28,8.1242,8.2838
2023,10,29,8.4658,8.4948
2023,10,30,8.437,8.579
2023,10,31,8.2865,8.3429
2023,11,1,6.313,8.1394
2023,11,2,6.3804,7.8869
2023,11,3,4.5907,7.9918
2023,11,4,7.4222,8.2344
2023,11,5,7.752,8.2716
2023,11,6,4.9788,8.2121
2023,11,7,7.0363,8.4734
2023,11,8,8.4274,8.4454
2023,11,9,8.4833,8.4958
2023,11,10,8.4144,8.5354
2023,11,11,7.9447,8.6498
2023,11,12,8.5997,8.711
2023,11,13,8.658,8.783
2023,11,14,8.7569,8.8236
2023,11,15,7.4477,8.6544
2023,11,16,5.9318,8.5003
2023,11,17,6.2141,8.5639
2023,11,18,7.6128,8.6702
2023,11,19,6.5683,8.562
2023,11,20,3.2964,8.4986
2023,11,21,7.9644,8.8286
2023,11,22,7.663,8.4984
2023,11,23,7.957,8.6981
2023,11,24,8.7871,8.9546
2023,11,25,7.9613,8.7665
2023,11,26,8.7682,8.874
2023,11,27,9.1486,9.1694
2023,11,28,7.0548,9.0094
2023,11,29,9.191,9.2974
2023,11,30,9.241,9.3096
2023,12,1,7.703,8.8145
2023,12,2,8.527,9.1056
2023,12,3,8.6916,9.1788
2023,12,4,8.946,9.2131
2023,12,5,8.7571,9.1061
2023,12,6,8.9628,9.1637
2023,12,7,8.9119,9.1788
2023,12,8,8.1149,8.921
2023,12,9,8.753,9.1699
2023,12,10,9.24,9.4346
2023,12,11,9.3007,9.329
2023,12,12,8.2738,9.402
2023,12,13,9.1723,9.3014
2023,12,14,8.7804,9.1721
2023,12,15,9.347,9.4073
2023,12,16,9.2873,9.367
2023,12,17,9.1061,9.4747
2023,12,18,9.3034,9.3264
2023,12,19,9.5261,9.5558
2023,12,20,9.4342,9.481
2023,12,21,9.2971,9.4241
2023,12,22,8.4151,9.217
2023,12,23,8.7113,9.2028
2023,12,24,9.2746,9.3804
2023,12,25,8.999,9.294
2023,12,26,9.1745,9.3643
2023,12,27,8.8949,9.2381
2023,12,28,8.0148,8.9952
2023,12,29,8.3777,8.8783
2023,12,30,7.2034,8.5351
2023,12,31,8.5147,8.8354
