-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  -28.74   longitude 24.77 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1223.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2023,6,1,4.1839,4.2098
2023,6,2,3.9358,4.1827
2023,6,3,3.9209,4.0135
2023,6,4,3.535,4.0714
2023,6,5,4.2878,4.289
2023,6,6,4.0788,4.0942
2023,6,7,3.8628,3.8671
2023,6,8,4.0555,4.0668
2023,6,9,4.1033,4.1078
2023,6,10,4.0567,4.0903
2023,6,11,4.0925,4.0956
2023,6,12,3.6794,3.9631
2023,6,13,3.9778,4.0075
2023,6,14,4.0169,4.0198
2023,6,15,3.751,3.9206
2023,6,16,3.9756,4.0123
2023,6,17,4.0428,4.0478
2023,6,18,3.8832,3.8846
2023,6,19,3.894,3.913
2023,6,20,4.0428,4.0723
2023,6,21,3.7702,3.9108
2023,6,22,3.9154,3.9173
2023,6,23,3.8431,3.8465
2023,6,24,3.8395,3.8446
2023,6,25,3.8894,3.8923
2023,6,26,3.7546,3.7841
2023,6,27,2.4521,3.6194
2023,6,28,3.5957,3.7745
2023,6,29,3.4102,3.9115
2023,6,30,4.02,4.0418
2023,7,1,4.0855,4.087
2023,7,2,3.9564,3.9629
2023,7,3,3.9646,3.9677
2023,7,4,3.9485,3.954
2023,7,5,4.0229,4.0454
2023,7,6,3.9053,4.0673
2023,7,7,3.863,3.9557
2023,7,8,3.96,3.9782
2023,7,9,3.6576,4.249
2023,7,10,4.2792,4.2864
2023,7,11,4.3111,4.3159
2023,7,12,4.2466,4.2526
2023,7,13,4.2115,4.2115
2023,7,14,4.0973,4.1556
2023,7,15,2.472,4.0078
2023,7,16,4.1393,4.1422
2023,7,17,4.2199,4.2221
2023,7,18,4.2528,4.2593
2023,7,19,4.2156,4.241
2023,7,20,4.0454,4.1873
2023,7,21,2.6417,3.9214
2023,7,22,3.5738,4.1503
2023,7,23,3.192,4.1261
2023,7,24,4.0555,4.3822
2023,7,25,3.2659,4.2041
2023,7,26,3.222,4.1508
2023,7,27,4.3692,4.3718
2023,7,28,3.6574,4.283
2023,7,29,1.3735,4.2125
2023,7,30,4.201,4.7849
2023,7,31,4.6241,4.7057
2023,8,1,4.8672,4.8722
2023,8,2,4.6622,4.667
2023,8,3,4.7323,4.7352
2023,8,4,3.6456,4.7093
2023,8,5,4.6738,4.6961
2023,8,6,4.8156,4.8595
2023,8,7,4.951,4.9543
2023,8,8,4.9154,4.9181
2023,8,9,4.7194,4.7522
2023,8,10,4.9126,4.9171
2023,8,11,4.0622,4.7717
2023,8,12,3.8136,4.7863
2023,8,13,4.7182,4.8578
2023,8,14,4.9757,5.0172
2023,8,15,5.1156,5.1238
2023,8,16,2.603,4.7534
2023,8,17,3.8772,4.7066
2023,8,18,4.6106,5.2999
2023,8,19,4.0798,4.8881
2023,8,20,5.6923,5.6933
2023,8,21,5.4338,5.508
2023,8,22,5.5394,5.5423
2023,8,23,5.6364,5.6522
2023,8,24,5.6486,5.6707
2023,8,25,5.3282,5.4079
2023,8,26,5.8258,5.9323
2023,8,27,6.0264,6.0276
2023,8,28,5.8015,5.8481
2023,8,29,5.8985,5.9006
2023,8,30,5.8308,5.8325
2023,8,31,5.6076,5.7386
2023,9,1,5.6724,5.737
2023,9,2,5.5366,5.6472
2023,9,3,5.5771,5.6354
2023,9,4,5.665,5.7406
2023,9,5,4.8478,5.6119
2023,9,6,6.3972,6.4243
2023,9,7,6.4032,6.4915
2023,9,8,5.8699,6.0451
2023,9,9,5.9681,5.9832
2023,9,10,5.7566,5.7991
2023,9,11,5.7331,6.455
2023,9,12,6.7322,6.7531
2023,9,13,6.1922,6.2038
2023,9,14,6.2551,6.3523
2023,9,15,6.7241,6.8194
2023,9,16,6.3485,6.7186
2023,9,17,6.6331,6.8707
2023,9,18,6.7142,6.8479
2023,9,19,6.3341,6.4212
2023,9,20,6.8014,7.0037
2023,9,21,6.9422,7.0613
2023,9,22,6.9,7.0219
2023,9,23,4.0706,5.7454
2023,9,24,1.7335,5.911
2023,9,25,6.4366,6.9986
2023,9,26,4.5797,7.0476
2023,9,27,6.9554,7.1518
2023,9,28,7.0589,7.1414
2023,9,29,7.2194,7.2679
2023,9,30,7.2758,7.4028
2023,10,1,7.3253,7.3298
2023,10,2,7.2134,7.2156
2023,10,3,7.147,7.152
2023,10,4,6.4426,7.14
2023,10,5,7.4947,7.5043
2023,10,6,6.9809,7.5182
2023,10,7,6.7546,7.452
2023,10,8,7.4758,7.5612
2023,10,9,6.018,7.3985
2023,10,10,5.3563,6.8693
2023,10,11,4.093,6.7534
2023,10,12,3.9106,6.7949
2023,10,13,8.0424,8.0546
2023,10,14,8.0234,8.0338
2023,10,15,6.2134,7.8816
2023,10,16,7.3973,8.0102
2023,10,17,7.5883,8.0146
2023,10,18,8.0966,8.1094
2023,10,19,8.118,8.1202
2023,10,20,7.7575,8.0158
2023,10,21,5.4449,8.0453
2023,10,22,8.2123,8.2723
2023,10,23,8.267,8.2711
2023,10,24,8.4648,8.4773
2023,10,25,8.5886,8.5906
2023,10,26,8.3762,8.4456
2023,10,27,6.444,8.1113
2023,10,28,8.0513,8.1703
2023,10,29,8.8013,8.8085
2023,10,30,3.2628,7.92
2023,10,31,4.1755,8.0592
2023,11,1,7.7374,8.7
2023,11,2,8.1806,8.447
2023,11,3,5.7698,8.0234
2023,11,4,6.6002,8.1418
2023,11,5,7.4417,8.2742
2023,11,6,7.5655,8.2474
2023,11,7,7.9668,8.6359
2023,11,8,8.5874,8.825
2023,11,9,8.8742,8.8769
2023,11,10,8.868,8.8872
2023,11,11,6.9917,8.5514
2023,11,12,8.8406,8.8416
2023,11,13,9.0602,9.0617
2023,11,14,8.963,9.0086
2023,11,15,8.2224,8.7262
2023,11,16,4.8703,8.3213
2023,11,17,7.8718,8.6071
2023,11,18,8.0501,8.7317
2023,11,19,7.5991,8.7888
2023,11,20,7.2566,8.7118
2023,11,21,6.3977,8.269
2023,11,22,8.0208,8.4922
2023,11,23,7.3008,8.5944
2023,11,24,3.2731,8.4576
2023,11,25,7.649,8.5198
2023,11,26,8.5262,8.7238
2023,11,27,8.7682,9.0206
2023,11,28,6.5414,9.0185
2023,11,29,8.8836,9.1238
2023,11,30,9.3154,9.3276
2023,12,1,8.7245,9.0329
2023,12,2,7.6601,9.0869
2023,12,3,5.2092,8.9333
2023,12,4,6.0266,8.9102
2023,12,5,7.4162,9.1073
2023,12,6,6.0209,8.7089
2023,12,7,7.6716,8.8915
2023,12,8,9.4562,9.4699
2023,12,9,9.1942,9.3293
2023,12,10,5.5776,8.807
2023,12,11,7.1606,8.814
2023,12,12,9.2854,9.3833
2023,12,13,9.4265,9.4541
2023,12,14,8.2337,8.9568
2023,12,15,6.1632,8.917
2023,12,16,9.1423,9.4363
2023,12,17,8.9683,9.545
2023,12,18,7.7846,9.0098
2023,12,19,8.311,9.4022
2023,12,20,8.5291,9.4476
2023,12,21,8.2618,9.385
2023,12,22,7.8662,9.0641
2023,12,23,8.4298,9.0569
2023,12,24,4.9159,8.9297
2023,12,25,6.6125,8.8589
2023,12,26,3.9343,8.9038
2023,12,27,5.7893,8.9342
2023,12,28,4.7328,8.988
2023,12,29,3.5268,8.6398
2023,12,30,4.9627,9.0211
2023,12,31,6.5798,9.0084
